2026-09-04T18:29:08.854Z  === СУХИЙ ПРОГІН — нічого не змінюється ===
2026-09-04T18:29:10.048Z  Знайдено записів для перенесення: 1000
2026-09-04T18:29:10.049Z    dolenosne-rishennya → https://storriss.com/storage/posts/July2025/xFpgoyehGIr84yQZ87Gj-966x676.jpg
2026-09-04T18:29:10.050Z    ti-prijdesh → https://storriss.com/storage/posts/October2023/iVRwb6hlxXe0te465G3k-966x676.jpg
2026-09-04T18:29:10.053Z    horoshi-druzi → https://storriss.com/storage/posts/December2023/Y5iVmhSRTUdJQnIxOxd9-966x676.jpg
2026-09-04T18:29:10.054Z    vikno-navproti → https://storriss.com/storage/posts/February2026/krzJl1a5UWL1OwfSe9A7-966x676.jpg
2026-09-04T18:29:10.055Z    martinivski-povertayutsya → https://storriss.com/storage/posts/July2023/FJVy9afOW7XT4rYtBaYT-966x676.jpg
2026-09-04T18:29:10.056Z    virina-nelyubov3 → https://storriss.com/storage/posts/June2024/ByZQrsuM41xx0p4EmRTx-966x676.jpg
2026-09-04T18:29:10.056Z    na-krayu-chuzhogo-gnizda → https://storriss.com/storage/posts/December2023/QPuiCp2oiReDRLaq1OYg-966x676.jpg
2026-09-04T18:29:10.057Z    dotiki → https://storriss.com/storage/posts/October2023/e0mMPTzeynRC2wuV0sIE-966x676.jpg
2026-09-04T18:29:10.057Z    vazhki-dumki → https://storriss.com/storage/posts/March2023/a1eVvycdhr7Zb6qES1oG-966x676.jpg
2026-09-04T18:29:10.060Z    pivoniyi-i-trohi-kohannya → https://storriss.com/storage/posts/November2025/U2mlImwy9pYWwLGViWtw-966x676.jpg
2026-09-04T18:29:10.063Z    … і ще 990
2026-09-04T18:29:10.064Z  
2026-09-04T18:29:10.064Z  Щоб виконати перенесення, запустіть без --dry
2026-09-04T18:30:55.592Z    ✓ vira  0.1 → 0.0 МБ
2026-09-04T18:30:55.623Z    ✓ vishni  0.0 → 0.0 МБ
2026-09-04T18:30:55.639Z    ✓ dostigli-babusini-grushi  0.1 → 0.0 МБ
2026-09-04T18:30:55.646Z    ✓ u-radosti-ta-ne-v-gori  0.1 → 0.0 МБ
2026-09-04T18:30:55.668Z    ✓ obid-vecherya  0.0 → 0.0 МБ
2026-09-04T18:30:56.411Z    ✓ sho-z-yednano-na-nebi-nehaj-ne-bude-roz-yednano-na-zemli  0.0 → 0.0 МБ
2026-09-04T18:30:56.488Z    ✓ do-ostannogo-skelcya  0.0 → 0.0 МБ
2026-09-04T18:30:56.503Z    ✓ koli-roztane-najbilsha-snizhinka  0.1 → 0.0 МБ
2026-09-04T18:30:56.554Z    ✓ glevki-kalachiki  0.1 → 0.0 МБ
2026-09-04T18:30:56.644Z    ✓ more-sho-pahne-ditinstvom  0.1 → 0.0 МБ
2026-09-04T18:30:57.428Z    ✓ zaberit-nas-babusyu  0.1 → 0.0 МБ
2026-09-04T18:30:57.504Z    ✓ ne-svataj-divki-v-susidiv  0.1 → 0.1 МБ
2026-09-04T18:30:57.520Z    ✓ des-tam-u-kiyevi  0.0 → 0.0 МБ
2026-09-04T18:30:57.529Z    ✓ dityachi-spovidi  0.1 → 0.0 МБ
2026-09-04T18:30:57.544Z    ✓ ti-tilki-podaruj-komus-kraplinku-shastya  0.0 → 0.0 МБ
2026-09-04T18:30:58.373Z    ✓ gonitva-za-zhovtim-zajcem  0.1 → 0.0 МБ
2026-09-04T18:30:58.379Z    ✓ bog-yakij-lyubit-lyudej  0.1 → 0.0 МБ
2026-09-04T18:30:58.438Z    ✓ ya-povernusya-v-nash-najkrashij-den  0.1 → 0.0 МБ
2026-09-04T18:30:58.454Z    ✓ ne-zminyujte-nichogo  0.0 → 0.0 МБ
2026-09-04T18:30:58.456Z    ✓ mariye-mariye  0.1 → 0.0 МБ
2026-09-04T18:30:59.285Z    ✓ korablik-shastya  0.1 → 0.0 МБ
2026-09-04T18:30:59.289Z    ✓ prominchik666  0.0 → 0.0 МБ
2026-09-04T18:30:59.370Z    ✓ lovelas  0.1 → 0.0 МБ
2026-09-04T18:30:59.397Z    ✓ mankurt  0.1 → 0.0 МБ
2026-09-04T18:30:59.452Z    ✓ romashka  0.0 → 0.0 МБ
2026-09-04T18:31:00.297Z    ✓ prodav-druzhka2  0.1 → 0.0 МБ
2026-09-04T18:31:00.351Z    ✓ olesina-lyubov  0.1 → 0.0 МБ
2026-09-04T18:31:00.356Z    ✓ ruzya  0.1 → 0.1 МБ
2026-09-04T18:31:00.400Z    ✓ vibir582  0.1 → 0.1 МБ
2026-09-04T18:31:00.872Z    ✓ pered-velikodnem3  0.1 → 0.0 МБ
2026-09-04T18:31:01.700Z    ✓ ti-kvitka-moya-charivna  0.1 → 0.0 МБ
2026-09-04T18:31:01.705Z    ✓ ziv-yalij-sad  0.1 → 0.0 МБ
2026-09-04T18:31:01.783Z    ✓ karpatski-diva23  0.1 → 0.0 МБ
2026-09-04T18:31:01.804Z    ✓ sluzhba-dostavki-shastya  0.1 → 0.1 МБ
2026-09-04T18:31:01.810Z    ✓ nemaye-rozluki  0.1 → 0.0 МБ
2026-09-04T18:31:01.811Z  --- оброблено 150 з 1000 ---
2026-09-04T18:31:02.677Z    ✓ nevimovno-potriben252  0.1 → 0.1 МБ
2026-09-04T18:31:02.686Z    ✓ nadiya-v-serci-nadya-u-zhitti  0.1 → 0.0 МБ
2026-09-04T18:31:02.695Z    ✓ svitlo-nadiyi  0.1 → 0.0 МБ
2026-09-04T18:31:02.737Z    ✓ ya-bachu333  0.1 → 0.0 МБ
2026-09-04T18:31:02.788Z    ✓ kroki-za-dverima  0.1 → 0.0 МБ
2026-09-04T18:31:03.649Z    ✓ lisovichok  0.1 → 0.0 МБ
2026-09-04T18:31:03.651Z    ✓ i-do-vorozhki-ne-hodi  0.1 → 0.0 МБ
2026-09-04T18:31:03.654Z    ✓ serce-pidkazhe  0.1 → 0.0 МБ
2026-09-04T18:31:03.718Z    ✓ osinnya-istoriya  0.0 → 0.0 МБ
2026-09-04T18:31:05.639Z    ✓ dobre-z-mamoyu  1.4 → 0.1 МБ
2026-09-04T18:31:06.464Z    ✓ shira-dusha  0.1 → 0.0 МБ
2026-09-04T18:31:06.519Z    ✓ grishnicya  0.1 → 0.0 МБ
2026-09-04T18:31:06.532Z    ✓ paska-babusi-katerini  0.1 → 0.0 МБ
2026-09-04T18:31:06.631Z    ✓ zirka-materi  0.1 → 0.1 МБ
2026-09-04T18:31:06.659Z    ✓ zhivij-pidkresleno  0.1 → 0.1 МБ
2026-09-04T18:31:07.493Z    ✓ virnist-zavdovzhki-v-zhittya  0.1 → 0.0 МБ
2026-09-04T18:31:07.511Z    ✓ tonkij-parostok  0.1 → 0.0 МБ
2026-09-04T18:31:07.519Z    ✓ ti-znayesh-yak-cvite-rozmaj874  0.1 → 0.0 МБ
2026-09-04T18:31:07.568Z    ✓ carstvo-spogadiv  0.0 → 0.0 МБ
2026-09-04T18:31:08.202Z    ✓ koli-odcvite-loboda  0.1 → 0.0 МБ
2026-09-04T18:31:09.036Z    ✓ yak-u-boga-za-pazuhoyu  0.1 → 0.0 МБ
2026-09-04T18:31:09.070Z    ✓ de-tonko-tam-i-rvetsya  0.1 → 0.0 МБ
2026-09-04T18:31:09.095Z    ✓ zmarnovani-zhittya  0.1 → 0.0 МБ
2026-09-04T18:31:09.111Z    ✓ kosa-na-kamin  0.1 → 0.0 МБ
2026-09-04T18:31:09.156Z    ✓ yabluka-z-medom  0.1 → 0.1 МБ
2026-09-04T18:31:09.961Z    ✓ privit-ce-ya  0.1 → 0.0 МБ
2026-09-04T18:31:09.974Z    ✓ chuzhi-ridni  0.0 → 0.0 МБ
2026-09-04T18:31:09.984Z    ✓ prohannya-do-mikolaya  0.0 → 0.0 МБ
2026-09-04T18:31:10.047Z    ✓ koleso-doli  0.1 → 0.0 МБ
2026-09-04T18:31:10.612Z    ✓ podarunok  0.1 → 0.0 МБ
2026-09-04T18:31:11.369Z    ✓ dyakuyu-brate2522  0.0 → 0.0 МБ
2026-09-04T18:31:11.397Z    ✓ moya-donechka-nastusya  0.0 → 0.0 МБ
2026-09-04T18:31:11.424Z    ✓ ostannya-sproba-i-yedinij-shans  0.1 → 0.0 МБ
2026-09-04T18:31:11.538Z    ✓ voyin-lyubovi-ta-dobra  0.1 → 0.1 МБ
2026-09-04T18:31:11.549Z    ✓ mandrivka  0.1 → 0.1 МБ
2026-09-04T18:31:12.286Z    ✓ rodzinka  0.1 → 0.0 МБ
2026-09-04T18:31:12.347Z    ✓ nedosyazhnij-bereg  0.0 → 0.0 МБ
2026-09-04T18:31:12.370Z    ✓ bili-yabluka-v-peleni-biloyi-nochi  0.1 → 0.0 МБ
2026-09-04T18:31:12.468Z    ✓ zhorna  0.1 → 0.1 МБ
2026-09-04T18:31:12.470Z    ✓ ukrayinskij-borsh  0.1 → 0.1 МБ
2026-09-04T18:31:13.309Z    ✓ tak-hochetsya-zhiti-prosto-zhiti  0.1 → 0.0 МБ
2026-09-04T18:31:13.363Z    ✓ tayemnicha-istoriya  0.1 → 0.0 МБ
2026-09-04T18:31:13.370Z    ✓ samotnist6582  0.1 → 0.0 МБ
2026-09-04T18:31:13.517Z    ✓ zustrich-sho-zminyuye-zhittya  0.1 → 0.1 МБ
2026-09-04T18:31:13.527Z    ✓ mriya  0.0 → 0.0 МБ
2026-09-04T18:31:14.326Z    ✓ yangol-na-vikni  0.1 → 0.0 МБ
2026-09-04T18:31:14.343Z    ✓ dobro-povertayetsya  0.0 → 0.0 МБ
2026-09-04T18:31:14.383Z    ✓ de-moya-stezhina  0.1 → 0.0 МБ
2026-09-04T18:31:14.392Z    ✓ chomu-prihodit-i-jde-lyubov  0.1 → 0.0 МБ
2026-09-04T18:31:14.414Z    ✓ sira-mishka  0.1 → 0.0 МБ
2026-09-04T18:31:14.414Z  --- оброблено 200 з 1000 ---
2026-09-04T18:31:15.230Z    ✓ knizhkovij-vampir  0.0 → 0.0 МБ
2026-09-04T18:31:15.257Z    ✓ v-yazni  0.1 → 0.0 МБ
2026-09-04T18:31:15.264Z    ✓ cholovik-u-sviti-zalishaye-grih-zhinka-nese-na-porig  0.1 → 0.0 МБ
2026-09-04T18:31:15.289Z    ✓ pivoniyi363  0.1 → 0.1 МБ
2026-09-04T18:31:15.425Z    ✓ karolina-korolevich-povertayetsya-dodomu  0.1 → 0.1 МБ
2026-09-04T18:31:16.244Z    ✓ nova-vira358  0.1 → 0.0 МБ
2026-09-04T18:31:16.266Z    ✓ ale-vin-chekaye-na-neyi  0.0 → 0.0 МБ
2026-09-04T18:31:16.420Z    ✓ zhittya-prekrasne2  0.1 → 0.0 МБ
2026-09-04T18:31:16.429Z    ✓ gribna-lihomanka  0.1 → 0.0 МБ
2026-09-04T18:31:16.511Z    ✓ vidpustka-v-seli  0.1 → 0.1 МБ
2026-09-04T18:31:17.331Z    ✓ she-ne-chas369  0.0 → 0.0 МБ
2026-09-04T18:31:17.340Z    ✓ var-yatka  0.1 → 0.0 МБ
2026-09-04T18:31:17.349Z    ✓ chuzhi-ridni-sestri  0.1 → 0.0 МБ
2026-09-04T18:31:17.549Z    ✓ hvostatij-zlodij  0.2 → 0.1 МБ
